timestamp,inst,price,status,reason,direction,level,atr_1h,who_punished
2026-08-09 19:20:00,BTC-USDT-SWAP,65187.9,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,90.54285714285756,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-09 19:55:00,BTC-USDT-SWAP,65166.4,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,90.97142857142899,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-09 20:35:00,BTC-USDT-SWAP,65120.2,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,94.89285714285766,"накажут тех, кто входит без подтверждения (без отказа)"
2026-08-09 21:10:00,BTC-USDT-SWAP,65105.5,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,93.77857142857205,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-09 21:50:00,BTC-USDT-SWAP,65177.7,ЖДЁМ СВИП,НЕТ СНЯТИЯ ЛИКВИДНОСТИ (не вынесли ниже уровня),long,64810.0,102.61428571428613,"накажут тех, кто входит ДО снятия ликвидности"
2026-08-09 22:30:00,BTC-USDT-SWAP,65213.1,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,115.37857142857216,"накажут тех, кто торгует середину диапазона"
2026-08-09 23:05:00,BTC-USDT-SWAP,65072.5,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,133.52142857142877,"накажут тех, кто торгует середину диапазона"
2026-08-09 23:45:00,BTC-USDT-SWAP,64888.2,СДЕЛКА,ЕСТЬ СВИП + ОТКАЗ + РЕТЕСТ (валидный шорт),short,64927.6,146.17142857142866,накажут покупателей
2026-08-10 01:45:00,BTC-USDT-SWAP,65048.6,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,185.75,"накажут тех, кто торгует середину диапазона"
2026-08-10 03:50:00,BTC-USDT-SWAP,64963.8,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,225.0714285714291,"накажут тех, кто торгует середину диапазона"
2026-08-10 05:25:00,BTC-USDT-SWAP,65000.1,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,227.67142857142866,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-10 06:50:00,BTC-USDT-SWAP,65214.6,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,239.49285714285725,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-10 08:25:00,BTC-USDT-SWAP,65297.9,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,257.55714285714254,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-10 09:55:00,BTC-USDT-SWAP,64951.3,НЕТ СДЕЛКИ,СЕРЕДИНА ДИАПАЗОНА (лучшее место для наказания за нетерпение),,,276.9357142857142,"накажут тех, кто торгует середину диапазона"
2026-08-10 11:10:00,BTC-USDT-SWAP,64961.6,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,270.8285714285718,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-10 12:00:00,BTC-USDT-SWAP,65090.1,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,238.6714285714292,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-10 13:35:00,BTC-USDT-SWAP,64707.9,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,269.5928571428573,"накажут тех, кто входит без подтверждения (без отказа)"
2026-08-10 14:40:00,BTC-USDT-SWAP,64829.0,НЕТ СДЕЛКИ,НЕТ ИМПУЛЬСА (рынок вялый/нет расширения диапазона),,,266.85000000000065,накажут нетерпеливых (рынок вялый — без импульса)
2026-08-10 15:40:00,BTC-USDT-SWAP,64311.5,НЕТ СДЕЛКИ,НЕТ ОТКАЗА (нет хвоста/поглощения на M5),,,265.17857142857196,"накажут тех, кто входит без подтверждения (без отказа)"
